context_word1,context_word2,target_word
there,are,found
are,found,the
found,the,fossils
the,fossils,of
fossils,of,monsters
of,monsters,now
monsters,now,almost
now,almost,completely
almost,completely,extinct
completely,extinct,the
extinct,the,subsequent
the,subsequent,relics
subsequent,relics,discovered
relics,discovered,in
discovered,in,what
in,what,are
what,are,called
are,called,the
called,the,tertiary
the,tertiary,formations
tertiary,formations,seem
formations,seem,the
seem,the,connecting
the,connecting,or
connecting,or,at
or,at,any
at,any,rate
any,rate,intercepted
rate,intercepted,links
intercepted,links,between
links,between,the
between,the,antichronical
the,antichronical,creatures
antichronical,creatures,and
creatures,and,those
and,those,whose
those,whose,remote
whose,remote,posterity
remote,posterity,are
posterity,are,said
are,said,to
said,to,have
to,have,entered
have,entered,the
entered,the,ark
the,ark,all
ark,all,the
all,the,fossil
the,fossil,whales
fossil,whales,hitherto
whales,hitherto,discovered
hitherto,discovered,belong
discovered,belong,to
belong,to,the
to,the,tertiary
the,tertiary,period
tertiary,period,which
period,which,is
which,is,the
is,the,last
the,last,preceding
last,preceding,the
preceding,the,superficial
the,superficial,formations
superficial,formations,and
formations,and,though
and,though,none
though,none,of
none,of,them
of,them,precisely
them,precisely,answer
precisely,answer,to
answer,to,any
to,any,known
any,known,species
known,species,of
species,of,the
of,the,present
the,present,time
present,time,they
time,they,are
they,are,yet
are,yet,sufficiently
yet,sufficiently,akin
sufficiently,akin,to
akin,to,them
to,them,in
them,in,general
in,general,respects
general,respects,to
respects,to,justify
to,justify,their
justify,their,taking
their,taking,rank
taking,rank,as
rank,as,cetacean
as,cetacean,fossils
cetacean,fossils,detached
fossils,detached,broken
detached,broken,fossils
broken,fossils,of
fossils,of,pre
of,pre,adamite
pre,adamite,whales
adamite,whales,fragments
whales,fragments,of
fragments,of,their
of,their,bones
their,bones,and
bones,and,skeletons
and,skeletons,have
skeletons,have,within
have,within,thirty
within,thirty,years
thirty,years,past
years,past,at
past,at,various
at,various,intervals
various,intervals,been
intervals,been,found
been,found,at
found,at,the
at,the,base
the,base,of
base,of,the
of,the,alps
the,alps,in
alps,in,lombardy
in,lombardy,in
lombardy,in,france
in,france,in
france,in,england
in,england,in
england,in,scotland
in,scotland,and
scotland,and,in
and,in,the
in,the,states
the,states,of
states,of,louisiana
of,louisiana,mississippi
louisiana,mississippi,and
mississippi,and,alabama
and,alabama,among
alabama,among,the
among,the,more
the,more,curious
more,curious,of
curious,of,such
of,such,remains
such,remains,is
remains,is,part
is,part,of
part,of,a
of,a,skull
a,skull,which
skull,which,in
which,in,the
in,the,year
the,year,was
year,was,disinterred
was,disinterred,in
disinterred,in,the
in,the,rue
the,rue,dauphine
rue,dauphine,in
dauphine,in,paris
in,paris,a
paris,a,short
a,short,street
short,street,opening
street,opening,almost
opening,almost,directly
almost,directly,upon
directly,upon,the
upon,the,palace
the,palace,of
palace,of,the
of,the,tuileries
the,tuileries,and
tuileries,and,bones
and,bones,disinterred
bones,disinterred,in
disinterred,in,excavating
in,excavating,the
excavating,the,great
the,great,docks
great,docks,of
docks,of,antwerp
of,antwerp,in
antwerp,in,napoleon
in,napoleon,s
napoleon,s,time
s,time,cuvier
time,cuvier,pronounced
cuvier,pronounced,these
pronounced,these,fragments
these,fragments,to
fragments,to,have
to,have,belonged
have,belonged,to
belonged,to,some
to,some,utterly
some,utterly,unknown
utterly,unknown,leviathanic
unknown,leviathanic,species
leviathanic,species,but
species,but,by
but,by,far
by,far,the
far,the,most
the,most,wonderful
most,wonderful,of
wonderful,of,all
of,all,cetacean
all,cetacean,relics
cetacean,relics,was
relics,was,the
was,the,almost
the,almost,complete
almost,complete,vast
complete,vast,skeleton
vast,skeleton,of
skeleton,of,an
of,an,extinct
an,extinct,monster
extinct,monster,found
monster,found,in
found,in,the
in,the,year
the,year,on
year,on,the
on,the,plantation
the,plantation,of
plantation,of,judge
of,judge,creagh
judge,creagh,in
creagh,in,alabama
in,alabama,the
alabama,the,awe
the,awe,stricken
awe,stricken,credulous
stricken,credulous,slaves
credulous,slaves,in
slaves,in,the
in,the,vicinity
the,vicinity,took
vicinity,took,it
took,it,for
it,for,the
for,the,bones
the,bones,of
bones,of,one
of,one,of
one,of,the
of,the,fallen
the,fallen,angels
fallen,angels,the
angels,the,alabama
the,alabama,doctors
alabama,doctors,declared
doctors,declared,it
declared,it,a
it,a,huge
a,huge,reptile
huge,reptile,and
reptile,and,bestowed
and,bestowed,upon
bestowed,upon,it
upon,it,the
it,the,name
the,name,of
name,of,basilosaurus
of,basilosaurus,but
basilosaurus,but,some
but,some,specimen
some,specimen,bones
specimen,bones,of
bones,of,it
of,it,being
it,being,taken
being,taken,across
taken,across,the
across,the,sea
the,sea,to
sea,to,owen
to,owen,the
owen,the,english
the,english,anatomist
english,anatomist,it
anatomist,it,turned
it,turned,out
turned,out,that
out,that,this
that,this,alleged
this,alleged,reptile
alleged,reptile,was
reptile,was,a
was,a,whale
a,whale,though
whale,though,of
though,of,a
of,a,departed
a,departed,species
departed,species,a
species,a,significant
a,significant,illustration
significant,illustration,of
illustration,of,the
of,the,fact
the,fact,again
fact,again,and
again,and,again
and,again,repeated
again,repeated,in
repeated,in,this
in,this,book
this,book,that
book,that,the
that,the,skeleton
the,skeleton,of
skeleton,of,the
of,the,whale
the,whale,furnishes
whale,furnishes,but
furnishes,but,little
but,little,clue
little,clue,to
clue,to,the
to,the,shape
the,shape,of
shape,of,his
of,his,fully
his,fully,invested
fully,invested,body
invested,body,so
body,so,owen
so,owen,rechristened
owen,rechristened,the
rechristened,the,monster
the,monster,zeuglodon
monster,zeuglodon,and
zeuglodon,and,in
and,in,his
in,his,paper
his,paper,read
paper,read,before
read,before,the
before,the,london
the,london,geological
london,geological,society
geological,society,pronounced
society,pronounced,it
pronounced,it,in
it,in,substance
in,substance,one
substance,one,of
one,of,the
of,the,most
the,most,extraordinary
most,extraordinary,creatures
extraordinary,creatures,which
creatures,which,the
which,the,mutations
the,mutations,of
mutations,of,the
of,the,globe
the,globe,have
globe,have,blotted
have,blotted,out
blotted,out,of
out,of,existence
of,existence,when
existence,when,i
when,i,stand
i,stand,among
stand,among,these
among,these,mighty
these,mighty,leviathan
mighty,leviathan,skeletons
leviathan,skeletons,skulls
skeletons,skulls,tusks
skulls,tusks,jaws
tusks,jaws,ribs
jaws,ribs,and
ribs,and,vertebrae
and,vertebrae,all
vertebrae,all,characterized
all,characterized,by
characterized,by,partial
by,partial,resemblances
partial,resemblances,to
resemblances,to,the
to,the,existing
the,existing,breeds
existing,breeds,of
breeds,of,sea
of,sea,monsters
sea,monsters,but
monsters,but,at
but,at,the
at,the,same
the,same,time
same,time,bearing
time,bearing,on
bearing,on,the
on,the,other
the,other,hand
other,hand,similar
hand,similar,affinities
similar,affinities,to
affinities,to,the
to,the,annihilated
the,annihilated,antichronical
annihilated,antichronical,leviathans
antichronical,leviathans,their
leviathans,their,incalculable
their,incalculable,seniors
incalculable,seniors,i
seniors,i,am
i,am,by
am,by,a
by,a,flood
a,flood,borne
flood,borne,back
borne,back,to
back,to,that
to,that,wondrous
that,wondrous,period
wondrous,period,ere
period,ere,time
ere,time,itself
time,itself,can
itself,can,be
can,be,said
be,said,to
said,to,have
to,have,begun
have,begun,for
begun,for,time
for,time,began
time,began,with
began,with,man
with,man,here
man,here,saturn
here,saturn,s
saturn,s,grey
s,grey,chaos
grey,chaos,rolls
chaos,rolls,over
rolls,over,me
over,me,and
me,and,i
and,i,obtain
i,obtain,dim
obtain,dim,shuddering
dim,shuddering,glimpses
shuddering,glimpses,into
glimpses,into,those
into,those,polar
those,polar,eternities
polar,eternities,when
eternities,when,wedged
when,wedged,bastions
wedged,bastions,of
bastions,of,ice
of,ice,pressed
ice,pressed,hard
pressed,hard,upon
hard,upon,what
upon,what,are
what,are,now
are,now,the
now,the,tropics
the,tropics,and
tropics,and,in
and,in,all
in,all,the
all,the,miles
the,miles,of
miles,of,this
of,this,world
this,world,s
world,s,circumference
s,circumference,not
circumference,not,an
not,an,inhabitable
an,inhabitable,hand
inhabitable,hand,s
hand,s,breadth
s,breadth,of
breadth,of,land
of,land,was
land,was,visible
was,visible,then
visible,then,the
then,the,whole
the,whole,world
whole,world,was
world,was,the
was,the,whale
the,whale,s
whale,s,and
s,and,king
and,king,of
king,of,creation
of,creation,he
creation,he,left
he,left,his
left,his,wake
his,wake,along
wake,along,the
along,the,present
the,present,lines
present,lines,of
lines,of,the
of,the,andes
the,andes,and
andes,and,the
and,the,himmalehs
the,himmalehs,who
himmalehs,who,can
who,can,show
can,show,a
show,a,pedigree
a,pedigree,like
pedigree,like,leviathan
like,leviathan,ahab
leviathan,ahab,s
ahab,s,harpoon
s,harpoon,had
harpoon,had,shed
had,shed,older
shed,older,blood
older,blood,than
blood,than,the
than,the,pharaoh
the,pharaoh,s
pharaoh,s,methuselah
s,methuselah,seems
methuselah,seems,a
seems,a,school
a,school,boy
school,boy,i
boy,i,look
i,look,round
look,round,to
round,to,shake
to,shake,hands
shake,hands,with
hands,with,shem
with,shem,i
shem,i,am
i,am,horror
am,horror,struck
horror,struck,at
struck,at,this
at,this,antemosaic
this,antemosaic,unsourced
antemosaic,unsourced,existence
unsourced,existence,of
existence,of,the
of,the,unspeakable
the,unspeakable,terrors
unspeakable,terrors,of
terrors,of,the
of,the,whale
the,whale,which
whale,which,having
which,having,been
having,been,before
been,before,all
before,all,time
all,time,must
time,must,needs
must,needs,exist
needs,exist,after
exist,after,all
after,all,humane
all,humane,ages
humane,ages,are
ages,are,over
are,over,but
over,but,not
but,not,alone
not,alone,has
alone,has,this
has,this,leviathan
this,leviathan,left
leviathan,left,his
left,his,pre
his,pre,adamite
pre,adamite,traces
adamite,traces,in
traces,in,the
in,the,stereotype
the,stereotype,plates
stereotype,plates,of
plates,of,nature
of,nature,and
nature,and,in
and,in,limestone
in,limestone,and
limestone,and,marl
and,marl,bequeathed
marl,bequeathed,his
bequeathed,his,ancient
his,ancient,bust
ancient,bust,but
bust,but,upon
but,upon,egyptian
upon,egyptian,tablets
egyptian,tablets,whose
tablets,whose,antiquity
whose,antiquity,seems
antiquity,seems,to
seems,to,claim
to,claim,for
claim,for,them
for,them,an
them,an,almost
an,almost,fossiliferous
almost,fossiliferous,character
fossiliferous,character,we
character,we,find
we,find,the
find,the,unmistakable
the,unmistakable,print
unmistakable,print,of
print,of,his
of,his,fin
his,fin,in
fin,in,an
in,an,apartment
an,apartment,of
apartment,of,the
of,the,great
the,great,temple
great,temple,of
temple,of,denderah
of,denderah,some
denderah,some,fifty
some,fifty,years
fifty,years,ago
years,ago,there
ago,there,was
there,was,discovered
was,discovered,upon
discovered,upon,the
upon,the,granite
the,granite,ceiling
granite,ceiling,a
ceiling,a,sculptured
a,sculptured,and
sculptured,and,painted
and,painted,planisphere
painted,planisphere,abounding
planisphere,abounding,in
abounding,in,centaurs
in,centaurs,griffins
centaurs,griffins,and
griffins,and,dolphins
and,dolphins,similar
dolphins,similar,to
similar,to,the
to,the,grotesque
the,grotesque,figures
grotesque,figures,on
figures,on,the
on,the,celestial
the,celestial,globe
celestial,globe,of
globe,of,the
of,the,moderns
the,moderns,gliding
moderns,gliding,among
gliding,among,them
among,them,old
them,old,leviathan
old,leviathan,swam
leviathan,swam,as
swam,as,of
as,of,yore
of,yore,was
yore,was,there
was,there,swimming
there,swimming,in
swimming,in,that
in,that,planisphere
that,planisphere,centuries
planisphere,centuries,before
centuries,before,solomon
before,solomon,was
solomon,was,cradled
was,cradled,nor
cradled,nor,must
nor,must,there
must,there,be
there,be,omitted
be,omitted,another
omitted,another,strange
another,strange,attestation
strange,attestation,of
attestation,of,the
of,the,antiquity
the,antiquity,of
antiquity,of,the
of,the,whale
the,whale,in
whale,in,his
in,his,own
his,own,osseous
own,osseous,post
osseous,post,diluvian
post,diluvian,reality
diluvian,reality,as
reality,as,set
as,set,down
set,down,by
down,by,the
by,the,venerable
the,venerable,john
venerable,john,leo
john,leo,the
leo,the,old
the,old,barbary
old,barbary,traveller
barbary,traveller,not
traveller,not,far
not,far,from
far,from,the
from,the,sea
the,sea,side
sea,side,they
side,they,have
they,have,a
have,a,temple
a,temple,the
temple,the,rafters
